"id_serial";"novelty_date";"available_date"
"5101";"2016-08-13";"2017-05-13"
"5103";"2016-08-13";"2017-05-13"
"5104";"2016-08-13";"2017-05-13"
"5105";"2016-08-13";"2017-05-13"
"5106";"2016-08-13";"2017-05-13"
"5282";"2017-05-05";"2017-05-13"
"5234";"2018-03-20";"2018-09-19"
"5281";"2017-05-03";"2017-05-12"
"5583";"2018-01-17";"2018-09-28"
"2318";"2017-01-13";"2017-09-07"
"5220";"2018-02-02";"2018-10-02"
"5578";"2018-02-06";"2018-12-29"
"5291";"2016-11-01";"2017-05-09"
"5280";"2017-05-05";"2017-05-09"
"5407";"2016-12-23";"2017-05-09"
"5235";"2016-12-21";"2017-05-09"
"1898";"2016-10-12";"2017-05-08"
"5564";"2017-03-31";"2017-05-08"
"5213";"2016-10-18";"2017-05-08"
"5279";"2016-11-29";"2017-05-07"
"5568";"2017-08-31";"2018-03-02"
"5364";"2017-04-12";"2017-05-07"
"5290";"2017-05-09";"2017-05-16"
"5543";"2017-05-09";"2017-05-16"
"920";"2017-02-28";"2017-05-08"
"5272";"2017-04-13";"2017-05-06"
"5520";"2017-05-17";"2017-05-18"
"5581";"2017-04-25";"2017-05-12"
"5260";"2017-05-09";"2017-05-16"
"5563";"2017-03-31";"2017-05-01"
"5494";"2017-02-07";"2017-05-08"
"5231";"2016-10-01";"2017-05-01"
"5320";"2018-01-31";"2018-12-20"
"5499";"2017-02-08";"2017-05-08"
"5405";"2016-12-19";"2017-12-20"
"5302";"2017-11-20";"2018-12-16"
"2106";"2016-11-28";"2017-04-30"
"5413";"2017-01-04";"2017-04-30"
"5326";"2016-11-11";"2017-12-23"
"5296";"2018-06-18";"2018-09-15"
"5297";"2018-06-18";"2018-09-15"
"5551";"2017-03-29";"2017-04-25"
"5453";"2018-01-26";"2018-10-26"
"5572";"2017-04-13";"2017-04-24"
"5527";"2018-04-26";"2018-11-11"
"5357";"2018-02-02";"2018-11-09"
"5094";"2016-08-06";"2017-04-23"
"5523";"2017-03-01";"2017-04-19"
"5310";"2016-11-05";"2017-04-18"
"3533";"2017-09-01";"2018-04-04"
"5186";"2016-09-10";"2017-04-17"
"5504";"2017-02-09";"2017-04-17"
"5313";"2016-11-09";"2017-04-17"
"5475";"2017-02-01";"2017-04-18"
"5492";"2017-10-03";"2018-04-02"
"5493";"2017-02-06";"2017-04-17"
"5463";"2018-01-02";"2018-04-02"
"5478";"2017-02-01";"2017-04-18"
"5531";"2018-02-20";"2018-04-02"
"5464";"2018-01-31";"2018-04-02"
"5532";"2017-03-08";"2017-04-17"
"5465";"2018-01-31";"2018-04-03"
"5479";"2017-02-01";"2017-04-18"
"5480";"2018-02-14";"2018-04-04"
"5481";"2018-02-20";"2018-04-03"
"5501";"2017-02-24";"2017-04-18"
"5521";"2017-02-28";"2017-04-16"
"5508";"2017-02-10";"2017-04-16"
"5530";"2017-03-08";"2017-04-17"
"5547";"2017-03-22";"2017-04-16"
"2236";"2017-02-01";"2017-04-18"
"5410";"2017-01-02";"2017-04-16"
"5476";"2017-02-01";"2017-04-18"
"5342";"2017-11-22";"2018-12-22"
"5422";"2017-11-30";"2018-12-20"
"5423";"2017-11-30";"2018-12-20"
"5311";"2016-11-09";"2017-12-20"
"5544";"2017-03-15";"2017-05-31"
"5315";"2016-11-10";"2017-12-22"
"5316";"2016-11-10";"2017-12-22"
"5512";"2017-11-27";"2018-12-20"
"5268";"2016-10-18";"2017-12-21"
"5270";"2017-07-12";"2017-12-21"
"5218";"2016-09-22";"2017-04-12"
"5477";"2017-12-13";"2018-04-04"
"5509";"2017-02-11";"2017-04-10"
"5522";"2017-03-01";"2017-12-20"
"5088";"2016-08-25";"2017-10-01"
"5117";"2016-08-19";"2017-04-09"
