"id_serial";"id_typ";"strava";"doprava";"ubytovani";"ubytovani_kategorie";"zeme";"destinace";"AVG(prumerna_cena)";"AVG(prumerna_cena_noc)";"AVG(delka)"
"3541";"4";"1";"1";"7";"0.00";"Brazílie:Formule 1";"Brazílie";"53990.0000";"10798.0000";"6.0000"
"3924";"8";"5";"3";"6";"4.00";"Mexiko";"Mayská riviéra";"57761.0979";"7229.6186";"9.0206"
"1802";"3";"3";"1";"7";"0.00";"Česká republika";"Mariánské Lázně";"10849.4375";"2000.6875";"8.0000"
"1408";"4";"2";"3";"6";"2.00";"Anglie:Tenis";"ATP Masters Londýn";"18615.0000";"18615.0000";"2.0000"
"1461";"4";"2";"3";"6";"2.00";"Anglie:Tenis";"ATP Masters Londýn";"17990.0000";"8995.0000";"3.0000"
"2608";"2";"2";"2";"6";"2.00";"Maďarsko";;"2420.0000";"2420.0000";"2.0000"
"2366";"3";"3";"1";"7";"0.00";"Česká republika";"Luhačovice";"3441.0638";"1628.0213";"3.6170"
"3674";"4";"2";"3";"6";"2.00";"Moto GP:Španělsko";"Valencie";"16715.0000";"6275.2500";"3.7500"
"3841";"3";"3";"1";"7";"0.00";"Česká republika";"Janské lázně";"6804.5455";"1040.0909";"7.5455"
"3748";"4";"2";"1";"6";"3.00";"Fotbal";"Bundesliga";"3247.4286";"3247.4286";"1.0000"
"2945";"4";"2";"3";"6";"2.00";"Formule 1";"Brazílie";"8990.0000";"4495.0000";"3.0000"
"2946";"4";"2";"3";"6";"2.00";"Formule 1";"Brazílie";"10740.0000";"5370.0000";"3.0000"
"919";"4";"2";"1";"6";"2.00";"Fotbal:Itálie";"Liga mistrů";"8659.0909";"8659.0909";"1.4545"
"466";"4";"2";"3";"6";"2.00";"Fotbal:Španělsko";"Liga mistrů:Španělsko";"16610.0513";"15525.1795";"2.2821"
"448";"4";"1";"1";"6";"2.00";"Fotbal:Německo";"Liga mistrů";"10706.9615";"10630.1923";"1.4231"
"3813";"4";"1";"1";"6";"2.00";"Fotbal:Německo";"Liga mistrů";"9526.6667";"9526.6667";"1.3333"
"3100";"3";"4";"1";"7";"3.00";"Česká republika";"Františkovy Lázně";"1481.6667";"1251.0000";"4.1667"
"2136";"3";"2";"1";"7";"3.00";"Česká republika";"Františkovy Lázně";"2393.6842";"772.1053";"4.0526"
"3231";"3";"3";"1";"6";"2.00";"Slovensko";"Dudince";"5380.0000";"2690.0000";"3.0000"
"3710";"4";"1";"3";"6";"2.00";"Formule 1:USA";"USA";"1.0000";"0.5000";"2.2500"
"1228";"4";"2";"1";"6";"2.00";"Anglie:Fotbal";"Premier League";"13241.1481";"6620.6519";"3.0000"
"3882";"3";"3";"1";"6";"3.00";"Slovensko";"Dunajská Streda";"1486.1250";"743.2500";"3.0000"
"3936";"3";"2";"1";"7";"0.00";"Slovensko";"Nový Smokovec";"1697.0000";"565.0000";"4.0000"
"1606";"3";"4";"1";"7";"0.00";"Česká republika";"Lázně Bohdaneč";"8954.1176";"1652.7059";"8.0588"
"1603";"3";"4";"1";"7";"0.00";"Česká republika";"Lázně Bohdaneč";"9162.2353";"1264.4706";"8.4706"
"2659";"3";"4";"1";"7";"0.00";"Česká republika";"Lázně Bohdaneč";"10040.7692";"1378.9231";"8.6154"
"3137";"3";"4";"1";"7";"0.00";"Česká republika";"Lázně Bohdaneč";"3108.6667";"1467.0667";"3.8667"
"3138";"3";"4";"1";"7";"0.00";"Česká republika";"Lázně Bohdaneč";"5975.3333";"1422.4000";"5.7333"
"1605";"3";"3";"1";"7";"0.00";"Česká republika";"Lázně Bohdaneč";"9271.6667";"1324.3333";"8.0000"
"1601";"3";"4";"1";"7";"0.00";"Česká republika";"Lázně Bohdaneč";"10050.0000";"1435.6000";"8.0000"
"2660";"3";"4";"1";"7";"0.00";"Česká republika";"Lázně Bohdaneč";"8325.3333";"2226.6667";"6.8333"
"3140";"3";"4";"1";"7";"0.00";"Česká republika";"Lázně Bohdaneč";"3067.1429";"1533.5714";"3.0000"
"3141";"3";"4";"1";"7";"0.00";"Česká republika";"Lázně Bohdaneč";"5844.2857";"1461.0000";"5.0000"
"2191";"3";"2";"1";"6";"2.00";"Německo";"Bad Füssing";"1016.7857";"1016.7857";"2.0000"
"2895";"3";"2";"1";"6";"2.00";"Německo";"Bad Füssing";"70597.6923";"10085.3846";"8.0000"
"2804";"3";"3";"1";"7";"0.00";"Slovensko";"Kúpele Lúčky";"9312.1429";"1862.4286";"6.0000"
"2811";"3";"2";"1";"7";"0.00";"Slovensko";"Kúpele Lúčky";"1055.0000";"1055.0000";"2.0000"
"3241";"3";"3";"1";"7";"0.00";"Slovensko";"Sliač";"3447.0000";"1723.5000";"3.0000"
"1588";"3";"4";"1";"7";"0.00";"Slovensko";"Bojnice";"13791.4366";"2298.3592";"7.0000"
"1587";"3";"4";"1";"7";"0.00";"Slovensko";"Bojnice";"11384.6224";"1897.2727";"7.0000"
"1589";"3";"4";"1";"7";"0.00";"Slovensko";"Bojnice";"8378.0971";"1622.8800";"6.8114"
"1590";"3";"4";"1";"7";"0.00";"Slovensko";"Bojnice";"10848.4104";"1863.4046";"6.9653"
"3128";"3";"3";"1";"7";"0.00";"Česká republika";"Jeseníky";"8756.6667";"1250.6667";"8.0000"
"3125";"3";"3";"1";"7";"0.00";"Česká republika";"Jeseníky";"4627.8571";"1156.8571";"5.0000"
